AU011858,            ONE,     00,
20081117, 0600,  , TD, 8.9S, 78.0E,  20, 1006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081117, 1200,  , TD, 9.0S, 77.9E,  20, 1006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081117, 1800,  , TD, 9.2S, 77.7E,  20, 1006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 0000,  , DB, 8.8S, 78.0E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 0600,  , DB, 9.3S, 77.6E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 1200,  , DB, 9.6S, 77.3E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 1800,  , DB, 9.8S, 77.6E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 0000,  , TD, 9.9S, 77.8E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 0600,  , TD, 9.9S, 78.2E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 1200,  , TD, 9.7S, 79.2E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 1800,  , TS, 9.4S, 81.1E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 0000,  , TS, 10.0S, 83.1E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 0600,  , TS, 10.5S, 85.9E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 1200,  , TS, 10.8S, 87.6E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 1800,  , EX, 10.0S, 89.3E,  25, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081121, 0000,  , EX, 9.7S, 90.5E,  20, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU122008,            ANIKA,     00,
20081117, 1200,  , TD, 8.1S, 89.4E,  20, 1005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081117, 1800,  , TD, 8.4S, 90.1E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 0000,  , DB, 8.8S, 91.3E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 0600,  , DB, 9.5S, 92.5E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 1200,  , TD, 10.1S, 93.8E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081118, 1800,  , TD, 10.4S, 95.2E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 0000,  , TS, 10.8S, 96.5E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 0600,  , TS, 11.3S, 97.7E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 1200,  , TS, 11.9S, 99.0E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081119, 1800,  , TS, 12.7S, 100.3E,  55,  982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 0000,  , TS, 13.7S, 101.5E,  60,  978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 0000,  , TS, 13.8S, 101.7E,  59,  978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 0600,  , TS, 14.6S, 102.8E,  55,  982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 0600,  , TS, 14.7S, 102.9E,  54,  982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 1200,  , TS, 15.3S, 104.1E,  50,  985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081120, 1800,  , TS, 15.4S, 105.1E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081121, 0000,  , TD, 16.1S, 106.5E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081121, 0600,  , TD, 16.6S, 107.6E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081121, 1200,  , EX, 17.2S, 108.6E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081121, 1800,  , TD, 17.0S, 109.4E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081122, 0000,  , TD, 17.2S, 110.5E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081122, 0000,  , TD, 17.2S, 110.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU132008,            BILLY,     00,
20081216, 0000,  , TD, 10.6S, 127.7E,  15, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081216, 0600,  , TD, 11.0S, 127.5E,  20, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081216, 1200,  , TD, 11.3S, 127.3E,  20, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081216, 1800,  , TD, 11.8S, 127.3E,  20, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081217, 0000,  , TD, 12.3S, 127.3E,  20, 1002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081217, 0600,  , DB, 12.8S, 127.4E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081217, 1200,  , DB, 13.0S, 127.7E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081217, 1800,  , DB, 13.4S, 127.9E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081218, 0000,  , TD, 13.7S, 128.2E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081218, 0600,  , TD, 14.0S, 128.6E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081218, 1200,  , TD, 14.5S, 128.8E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081218, 1800,  , TS, 14.8S, 128.8E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081219, 0000,  , TS, 14.7S, 128.7E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081219, 0600,  , TS, 14.6S, 128.6E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081219, 1200,  , TS, 14.7S, 128.5E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081219, 1800,  , TS, 14.9S, 128.3E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081220, 0000,  , TS, 14.9S, 127.9E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081220, 0600,  , TD, 15.1S, 127.4E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081220, 1200,  , TD, 15.3S, 126.9E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081220, 1800,  , TD, 15.3S, 126.5E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081221, 0000,  , TD, 15.2S, 126.1E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081221, 0600,  , TD, 15.2S, 125.8E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081221, 1200,  , TD, 15.3S, 125.4E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081221, 1800,  , TD, 15.3S, 124.9E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081222, 0000,  , TS, 15.5S, 124.3E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081222, 0600,  , TS, 15.9S, 123.8E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081222, 1200,  , TS, 16.6S, 123.5E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081222, 1800,  , TS, 16.7S, 122.9E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081223, 0000,  , TS, 17.2S, 122.2E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081223, 0600,  , TS, 17.8S, 121.4E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081223, 1200,  , TS, 17.8S, 120.8E,  50,  985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081223, 1800,  , TS, 17.9S, 120.3E,  55,  982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081224, 0000,  , TY, 17.9S, 119.8E,  75,  967, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081224, 0600,  , TY, 17.8S, 119.2E,  90,  956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081224, 1200,  , TY, 17.8S, 118.6E, 105,  944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081224, 1800,  , TY, 17.6S, 117.9E, 110,  941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081225, 0000,  , TY, 17.5S, 117.3E, 105,  944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081225, 0600,  , TY, 17.3S, 116.6E, 105,  944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081225, 1200,  , TY, 16.9S, 116.0E, 105,  944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081225, 1800,  , TY, 16.6S, 115.3E,  95,  952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081226, 0000,  , TY, 16.2S, 114.7E,  85,  959, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081226, 0600,  , TY, 15.8S, 114.1E,  80,  963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081226, 1200,  , TY, 15.6S, 113.8E,  75,  967, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081226, 1800,  , TY, 15.4S, 113.6E,  70,  970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081227, 0000,  , TS, 15.3S, 113.3E,  55,  982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081227, 0600,  , TS, 15.3S, 112.9E,  55,  982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081227, 1200,  , TS, 15.2S, 112.8E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081227, 1800,  , TS, 15.0S, 112.7E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081228, 0000,  , TS, 15.0S, 112.9E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081228, 0600,  , TD, 15.5S, 112.8E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081228, 1200,  , TD, 16.1S, 112.7E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081228, 1800,  , TD, 16.4S, 112.2E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081229, 0000,  , TD, 16.5S, 111.3E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081229, 0600,  , TD, 17.0S, 110.6E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081229, 1200,  , TD, 17.2S, 109.6E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081229, 1800,  , TD, 17.1S, 108.8E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081230, 0000,  , TD, 16.9S, 108.0E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081230, 0600,  , TD, 16.7S, 107.7E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081230, 1200,  , DB, 16.5S, 107.3E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081230, 1800,  , DB, 16.4S, 106.9E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081231, 0000,  , DB, 16.2S, 106.3E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081231, 0600,  , DB, 16.3S, 105.4E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081231, 1200,  , DB, 16.0S, 104.5E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20081231, 1800,  , DB, 15.6S, 103.7E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090101, 0000,  , DB, 15.2S, 102.5E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090101, 0600,  , DB, 15.1S, 101.3E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090101, 1200,  , DB, 15.0S, 100.1E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090101, 1800,  , DB, 14.6S, 99.2E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090102, 0000,  , DB, 14.3S, 98.2E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090102, 0600,  , DB, 14.0S, 97.2E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090102, 1200,  , DB, 13.8S, 96.0E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090102, 1800,  , DB, 13.4S, 94.6E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090103, 0000,  , DB, 13.0S, 93.1E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090103, 0600,  , DB, 12.7S, 91.8E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090103, 1200,  , DB, 12.6S, 91.2E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090103, 1800,  , DB, 12.5S, 90.3E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090104, 0000,  , DB, 12.4S, 89.0E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU012009,            CHARLOTTE,     00,
20090110, 1800,  , DB, 16.4S, 139.5E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090111, 0000,  , DB, 16.3S, 139.7E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090111, 0600,  , TS, 16.2S, 140.0E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090111, 1200,  , TS, 16.2S, 140.6E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090111, 1800,  , TS, 16.6S, 141.1E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090112, 0000,  , TD, 17.1S, 141.6E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090112, 0600,  , TD, 17.3S, 142.2E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090112, 1200,  , DB, 17.9S, 143.0E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU022009,            DOMINIC,     00,
20090124, 0000,  , DB, 17.3S, 123.3E,  15, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090124, 0600,  , TD, 17.6S, 122.6E,  20, 1002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090124, 1200,  , TD, 17.8S, 121.6E,  25, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090124, 1800,  , DB, 18.1S, 120.1E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090125, 0000,  , TD, 18.4S, 118.9E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090125, 0600,  , TD, 18.8S, 117.7E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090125, 1200,  , TD, 18.7S, 116.7E,  25, 1002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090125, 1800,  , TS, 19.1S, 116.3E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090126, 0000,  , TS, 19.5S, 115.9E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090126, 0600,  , TS, 20.3S, 115.5E,  50,  985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090126, 1200,  , TS, 20.8S, 115.2E,  50,  985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090126, 1800,  , TS, 21.4S, 115.2E,  50,  985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090127, 0000,  , TS, 22.1S, 115.3E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090127, 0600,  , TD, 23.2S, 115.5E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090127, 1200,  , TD, 24.4S, 116.2E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090127, 1800,  , TD, 25.8S, 116.9E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090128, 0000,  , DB, 27.2S, 117.8E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090128, 0600,  , DB, 29.4S, 119.6E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU032009,            ELLIE,     00,
20090130, 1200,  , DB, 16.2S, 146.5E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090130, 1800,  , DB, 16.1S, 146.8E,  25, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090131, 0000,  , DB, 15.9S, 147.5E,  25, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090131, 0600,  , TD, 16.5S, 148.2E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090131, 1200,  , TD, 16.5S, 147.9E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090131, 1800,  , TS, 16.7S, 147.5E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090201, 0000,  , TS, 17.0S, 147.1E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090201, 0600,  , TS, 17.8S, 147.0E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090201, 1200,  , TS, 18.0S, 146.3E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090201, 1800,  , TD, 18.3S, 145.7E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090202, 0000,  , TD, 18.8S, 145.5E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090202, 0600,  , DB, 19.0S, 145.1E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090202, 1200,  , DB, 19.3S, 144.9E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU042009,            FREDDY,     00,
20090203, 0600,  , DB, 15.5S, 125.5E,  20,  998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090203, 1200,  , DB, 15.5S, 122.5E,  20,  998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090203, 1800,  , DB, 15.3S, 121.5E,  20,  998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090204, 0000,  , DB, 15.2S, 120.6E,  20,  998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090204, 0600,  , DB, 14.9S, 119.7E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090204, 1200,  , DB, 15.8S, 119.3E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090204, 1800,  , DB, 15.9S, 118.6E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090205, 0000,  , DB, 15.9S, 117.9E,  15, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090205, 0600,  , DB, 16.1S, 117.2E,  15, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090205, 1200,  , DB, 16.3S, 116.4E,  25, 1002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090205, 1800,  , TD, 17.0S, 115.4E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090206, 0000,  , TD, 16.5S, 114.3E,  30,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090206, 0600,  , TD, 16.2S, 113.8E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090206, 1200,  , TD, 16.0S, 113.6E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090206, 1800,  , TS, 16.1S, 113.3E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090207, 0000,  , TS, 16.3S, 113.2E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090207, 0600,  , TD, 16.5S, 112.8E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090207, 1200,  , TS, 16.3S, 112.0E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090207, 1800,  , TS, 15.9S, 111.2E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090208, 0000,  , TS, 15.9S, 110.3E,  50,  985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090208, 0600,  , TS, 16.0S, 109.4E,  55,  982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090208, 1200,  , TS, 16.5S, 108.6E,  50,  985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090208, 1800,  , TS, 17.0S, 107.8E,  45,  989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090209, 0000,  , TS, 17.6S, 106.8E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090209, 0600,  , TS, 18.3S, 105.6E,  40,  993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090209, 1200,  , TS, 18.9S, 104.5E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090209, 1800,  , TS, 19.4S, 103.4E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090210, 0000,  , TS, 20.0S, 102.2E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090210, 0600,  , TS, 20.7S, 101.0E,  35,  996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090210, 1200,  , TD, 21.4S, 100.0E,  30, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090210, 1800,  , TD, 21.6S, 99.1E,  25, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090211, 0000,  , DB, 21.6S, 98.1E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090211, 0600,  , DB, 21.6S, 97.4E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090211, 1200,  , DB, 21.5S, 96.9E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090211, 1800,  , DB, 21.1S, 96.3E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090212, 0000,  , DB, 20.7S, 95.5E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090212, 0600,  , DB, 20.3S, 94.6E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090212, 1200,  , DB, 19.8S, 93.5E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090212, 1800,  , DB, 19.6S, 91.8E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090213, 0000,  , DB, 19.3S, 90.1E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090213, 0600,  , DB, 18.7S, 88.9E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090213, 1200,  , DB, 18.6S, 87.5E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090213, 1800,  , DB, 18.5S, 85.6E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090214, 0000,  , DB, 18.5S, 83.7E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090214, 0600,  , DB, 18.3S, 82.0E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090214, 1200,  , DB, 18.3S, 80.4E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090214, 1800,  , DB, 18.2S, 78.8E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090215, 0000,  , DB, 17.9S, 77.1E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090215, 0600,  , DB, 17.8S, 74.7E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20090215, 1200,  , DB, 18.1S, 72.3E,  15, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU052009,            INNIS,     00,
20090215, 0000,  , DB, 16.5S, 173.0E,  20, 1007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
